k,val_nll,val_acc,val_entropy_mean,val_entropy_std,test_acc,test_entropy_mean,test_entropy_std,correct_entropy_mean,incorrect_entropy_mean,best_weight_decay
0,1.9251438,0.554,1.9457027,0.00047720782,0.573,1.9456569,0.0007098333,1.9456393,1.9456804,0.01
1,1.5497471,0.694,1.8787544,0.06162904,0.723,1.8771964,0.072986655,1.8685424,1.8997842,0.01
2,1.0655034,0.696,1.441927,0.29350957,0.697,1.4371585,0.30720663,1.3636063,1.6063524,0.01
3,0.9320625,0.696,0.81122696,0.42077598,0.704,0.81066996,0.4265834,0.6830952,1.1140912,0.01
