k,val_nll,val_acc,val_entropy_mean,val_entropy_std,test_acc,test_entropy_mean,test_entropy_std,correct_entropy_mean,incorrect_entropy_mean,best_weight_decay
0,1.9251438,0.554,1.9457027,0.00047720782,0.573,1.9456569,0.0007098333,1.9456393,1.9456804,0.01
1,1.841467,0.292,1.9338514,0.016253548,0.277,1.9336151,0.021388872,1.924721,1.9370226,0.01
2,1.6931745,0.36,1.8691852,0.081080616,0.324,1.8695679,0.094205424,1.8377467,1.8848194,0.01
3,1.5806814,0.422,1.7740467,0.14793798,0.388,1.7769855,0.15952724,1.7419286,1.7992109,0.01
4,1.5060117,0.448,1.679202,0.19077688,0.389,1.686301,0.20017765,1.6630955,1.7010752,0.01
5,1.4710708,0.49,1.6243904,0.20797071,0.44,1.6339128,0.2161377,1.6031717,1.6580666,0.01
6,1.4594225,0.472,1.5947837,0.2223358,0.438,1.6050735,0.23109001,1.5780708,1.6261183,0.01
7,1.457191,0.492,1.5893995,0.22579518,0.449,1.600359,0.23479787,1.570028,1.6250753,0.01
8,1.4340634,0.444,1.4061066,0.33063203,0.438,1.4217358,0.33513314,1.3729457,1.4597607,0.01
