k,val_nll,val_acc,val_entropy_mean,val_entropy_std,test_acc,test_entropy_mean,test_entropy_std,correct_entropy_mean,incorrect_entropy_mean,best_weight_decay
0,1.9251438,0.552,1.9457027,0.00047723344,0.573,1.9456569,0.00070973247,1.9456393,1.9456804,0.01
1,1.531258,0.722,1.8650187,0.0717705,0.724,1.8645425,0.07722525,1.8522922,1.896677,0.01
2,1.0561868,0.718,1.3926716,0.28689796,0.721,1.3895093,0.28221095,1.3325461,1.5367151,0.01
3,0.90771705,0.708,0.7440763,0.3391393,0.734,0.7287183,0.33787334,0.6468677,0.95457685,0.01
