k,val_nll,val_acc,val_entropy_mean,val_entropy_std,test_acc,test_entropy_mean,test_entropy_std,correct_entropy_mean,incorrect_entropy_mean,best_weight_decay
0,1.9251438,0.552,1.9457027,0.00047723344,0.573,1.9456569,0.00070973247,1.9456393,1.9456804,0.01
1,1.9458733,0.072,1.945907,1.1920929e-07,0.091,1.9459071,2.3841858e-07,1.9459069,1.9459071,100.0
2,1.9458618,0.072,1.9459072,2.3841858e-07,0.091,1.9459072,2.3841858e-07,1.9459071,1.9459071,100.0
3,1.9453883,0.316,1.9459095,1.1956638e-07,0.319,1.9459095,1.2255967e-07,1.9459095,1.9459094,0.01
4,1.9457483,0.07,1.9459068,1.4870135e-07,0.091,1.9459069,2.5031113e-07,1.9459069,1.9459069,100.0
5,1.9444247,0.166,1.9457425,0.0008378858,0.131,1.945757,0.00080999936,1.9457567,1.9457572,0.01
6,1.9123284,0.17,1.9395838,0.019820895,0.163,1.9399107,0.019053018,1.9280547,1.9422194,0.01
7,1.840437,0.252,1.8872476,0.18274608,0.216,1.8911829,0.17206094,1.7982473,1.9167874,0.01
8,1.7014036,0.24,1.692489,0.4041605,0.246,1.6958699,0.3998185,1.4269471,1.7836088,0.01
